Default Dataset,,10^7,,10^10,,10^13,,10^16,
X,Y,X,Y,X,Y,X,Y,X,Y
,,0.00006263410008473757,132690505.84406428,0.0000011959610327446537,16688123327.764046,0.0000012354010394862673,870073162178.9224,0.0000012354010394862673,84559148784472.02
,,0.00008949754115315399,94730211.15787557,0.0000017089025243569385,12299041254.752373,0.000002522368219953891,672645677551.7212,0.0000024155752738034935,54726149076842.35
,,0.00012788257293748986,67629653.29683462,0.0000023638864987258847,10687375815.154678,0.000003738187210063012,586690888744.3195,0.0000035053452995523017,38696578499521.03
,,0.00018273074601151854,49182147.59853208,0.0000042389999572627904,8034494576.870334,0.000004672359070123318,545130735594.6502,0.000005603320125565325,22777635111935.547
,,0.0004996093377757733,26356516.32007916,0.00000605708508001362,6815161589.954896,0.000008378629815451975,447747073747.7543,0.000008243801697746783,12404075558261.646
,,0.0007688447535813539,20337584.507104047,0.000008378629815451975,5887767330.181836,0.000010179316085652286,420093168444.97614,0.000012528543080036568,6144789974494.171
,,0.0010367559507599659,17048561.16225156,0.000016032146052593053,4503966649.354168,0.000017106987041262822,345794188903.2909,0.000017901970306552876,3323251642102.913
,,0.0016215491302934016,13397072.78106305,0.00002290825044463207,3879694136.2024226,0.000033812954263162814,255752921966.35068,0.000025580032635029003,1773114792274.12
,,0.002222355128636626,11320714.447613757,0.00003168846857188336,3407237018.301399,0.00004831515518835616,204299717159.72107,0.00003647219997938468,936470797602.0499
,,0.0035001489003028993,9024661.964422842,0.000058698766650676874,2676510466.1471133,0.0000690372749658872,152511337120.17966,0.00005325448356798293,468563976475.2648
,,0.005512639346622971,7227836.5716985855,0.00008387436359508697,2334097802.8878775,0.00012788257293748986,74802495999.47023,0.00007759093744647827,232074442320.9287
,,0.007725120858035672,6240815.324827533,0.0001160215242623396,2070293134.6245012,0.00018963371387869073,43266675402.77867,0.00010526058229010229,126548336976.32846
,,0.012009971308561691,4921619.911380505,0.00021491478402252607,1640258056.2082808,0.0002548259719560527,24764259335.710632,0.00013645618689278052,70734946518.00867
,,0.016793772916309662,4060223.7535362844,0.00030709062158560774,1452603245.3499904,0.00039169547110929986,11481288440.373425,0.00020655896099482378,36093020961.80833
,,0.025329897147026877,2980843.0377417887,0.00042479156295045263,1248513520.231649,0.0005939941788094502,5485827201.726466,0.00028163766333301195,20946230188.496944
,,0.03666655106926896,2260569.204686101,0.0007868711222898636,930747287.2410438,0.0007978891850449114,3284234539.202335,0.00039810168574420024,11192098386.291931
,,0.0517170744853267,1519275.0972829158,0.001124356070480622,728767162.3426324,0.0011997361216882307,1521417149.983803,0.0005939941788094502,5485827201.726466
,,0.0712495149554154,910860.6780469199,0.0015302688273745022,551708089.8683845,0.0017565244374394258,758328157.6486452,0.0007978891850449114,3284234539.202335
,,0.10559284065765623,476098.0078627184,0.0026999707359361717,273783201.4097469,0.0023885076900597366,418418611.0429112,0.0011997361216882307,1521417149.983803
,,0.15088106302240673,266517.87183778494,0.00385797419815793,168436584.97081676,0.003206572039594182,224840066.9875719,0.0017565244374394258,758328157.6486452
,,0.215593169356798,146465.26344132028,0.005512639346622971,89116010.33451432,0.004537472262655375,125304871.18621273,0.002333188671039286,407562275.7319633
,,0.30805996287556897,81738.68832025924,0.007594646129538193,51497201.818183675,0.006483570611039227,67601227.60407965,0.0031755117310377848,229185900.47192845
,,0.44018528513693167,46181.546557376176,0.01140240538584528,24890856.335644618,0.009437706525835695,35027323.184951775,0.004537472262655375,125304871.18621273
,,0.6289784736789904,27190.947984803664,0.01608275203025273,13320621.68120202,0.013237768091819844,18903731.900538363,0.006483570611039227,67601227.60407965
,,0.8022648763847708,20397.24987141889,0.022156865845705243,7638534.194375225,0.018915378251953996,10104698.07522365,0.009437706525835695,35027323.184951775
,,0.00004308848589360162,171826595.13266006,0.032836804660110804,3782702.5101380823,0.027693859959983438,5093058.247674393,0.013237768091819844,18903731.900538363
,,0.000027297529752653043,251012984.342818,0.046165302407092115,1945311.7276320083,0.037998817988628426,2822383.2394263307,0.018915378251953996,10104698.07522365
,,0.000020135608460452585,344365468.62827224,0.06490385311233474,1068530.327534068,0.05342258303494636,1454211.087104351,0.027693859959983438,5093058.247674393
,,0.000013975728310779604,503277698.87300485,0.0927407794964853,604949.2720718037,0.07633525215832004,835044.2801031132,0.037998817988628426,2893348.033470261
,,0.000009700277108603271,690255014.1188177,0.13251681940561322,329394.5602266032,0.10907504637622104,458899.7339169474,0.05342258303494636,1454211.087104351
,,0.000006732770836072708,1074939117.9949896,0.18935259678344007,179355.1646657714,0.15585676873509952,251413.82814264786,0.07633525215832004,835044.2801031132
,,0.00000481747404239367,1383758516.630423,0.27056494465723124,101333.88555080605,0.2227029294744535,139018.1010660924,0.10907504637622104,458899.7339169474
,,0.000003447028974280997,1898116887.3139117,0.38660884783689853,56726.32751246878,0.318219062277621,77582.6087833321,0.15585676873509952,251413.82814264786
,,0.0000023925147590426378,2774029298.1307125,0.5524233799582856,32247.74621479721,0.45470156964623343,43833.40292337561,0.2227029294744535,139018.1010660924
,,0.000001660597260697765,4054143661.182706,0.7893549059520784,19576.52338582746,0.649720717416898,25149.579202486337,0.318219062277621,77582.6087833321
,,,,,,0.8422755196204941,18714.036738896568,0.45470156964623343,43833.40292337561
,,,,,,0.0000017648021949405335,790088665815.9097,0.649720717416898,25149.579202486337
,,,,,,,,0.8287217017050428,18336.280561575422
,,,,,,,,0.0000017119070332794498,67398394587634.68
